"id;""pesid"";""data_inversa"";""dia_semana"";""horario"";""uf"";""br"";""km"";""municipio"";""causa_principal"";""causa_acidente"";""ordem_tipo_acidente"";""tipo_acidente"";""classificacao_acidente"";""fase_dia"";""sentido_via"";""condicao_metereologica"";""tipo_pista"";""tracado_via"";""uso_solo"";""id_veiculo"";""tipo_veiculo"";""marca"";""ano_fabricacao_veiculo"";""tipo_envolvido"";""estado_fisico"";""idade"";""sexo"";""ilesos"";""feridos_leves"";""feridos_graves"";""mortos"";""latitude"";""longitude"";""regional"";""delegacia"";""uop""",,,
"182210;402103;2019-01-01;""terça-feira"";""01:30:00"";""SP"";116;218;""GUARULHOS"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Múltipla"";""Curva"";""Sim"";324888;""Automóvel"";""PEUGEOT/206 SW 16PRESENC"";2005;""Passageiro"";""Lesões Leves"";34;""Masculino"";0;1;0;0;-23",46052014;-46,"48772478;""SR-SP"";""DEL6/1"";""UOP01/SP""",
"182210;402106;2019-01-01;""terça-feira"";""01:30:00"";""SP"";116;218;""GUARULHOS"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Múltipla"";""Curva"";""Sim"";324888;""Automóvel"";""PEUGEOT/206 SW 16PRESENC"";2005;""Passageiro"";""Lesões Leves"";18;""Masculino"";0;1;0;0;-23",46052014;-46,"48772478;""SR-SP"";""DEL6/1"";""UOP01/SP""",
"182210;402104;2019-01-01;""terça-feira"";""01:30:00"";""SP"";116;218;""GUARULHOS"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Múltipla"";""Curva"";""Sim"";324888;""Automóvel"";""PEUGEOT/206 SW 16PRESENC"";2005;""Passageiro"";""Lesões Leves"";34;""Feminino"";0;1;0;0;-23",46052014;-46,"48772478;""SR-SP"";""DEL6/1"";""UOP01/SP""",
"182210;402102;2019-01-01;""terça-feira"";""01:30:00"";""SP"";116;218;""GUARULHOS"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Múltipla"";""Curva"";""Sim"";324888;""Automóvel"";""PEUGEOT/206 SW 16PRESENC"";2005;""Condutor"";""Lesões Leves"";27;""Masculino"";0;1;0;0;-23",46052014;-46,"48772478;""SR-SP"";""DEL6/1"";""UOP01/SP""",
"182211;402126;2019-01-01;""terça-feira"";""01:30:00"";""PR"";373;177","3;""PONTA GROSSA"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão traseira"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Dupla"";""Reta"";""Sim"";324868;""Motoneta"";""HONDA/C100 BIZ ES"";2004;""Condutor"";""Lesões Leves"";42;""Masculino"";0;1;0;0;-25",05533957;-50,"22776753;""SR-PR"";""DEL7/3"";""UOP01/PR"""
"182212;402092;2019-01-01;""terça-feira"";""00:45:00"";""SC"";101;16;""GARUVA"";""Sim"";""Animais na Pista"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Céu Claro"";""Dupla"";""Reta"";""Sim"";324863;""Automóvel"";""RENAULT/SANDERO EXP1016V"";2009;""Condutor"";""Lesões Leves"";47;""Feminino"";0;1;0;0;-26",1216;-48,"8826;""SR-SC"";""DEL8/3"";""UOP01/SC""",
"182214;402095;2019-01-01;""terça-feira"";""00:00:00"";""CE"";20;429","5;""FORTALEZA"";""Sim"";""Ingestão de Substâncias Psicoativas"";1;""Colisão com objeto estático"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Dupla"";""Viaduto"";""Sim"";324878;""Automóvel"";""TOYOTA/ETIOS HB XS"";2013;""Condutor"";""Lesões Graves"";NA;""Feminino"";0;0;1;0;-3",76999;-38,"670063;""SR-CE"";""DEL16/1"";""UOP02/CE"""
"182215;403852;2019-01-01;""terça-feira"";""01:00:00"";""MG"";381;327;""NOVA ERA"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão transversal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Interseção de vias"";""Não"";326009;""Bicicleta"";"""";NA;""Condutor"";""Lesões Graves"";34;""Masculino"";0;0;1;0;-19",7609;-43,"0306;""SR-MG"";""DEL4/3"";""UOP01/MG""",
"182215;403851;2019-01-01;""terça-feira"";""01:00:00"";""MG"";381;327;""NOVA ERA"";""Sim"";""Falta de Atenção à Condução"";1;""Colisão transversal"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Nublado"";""Simples"";""Interseção de vias"";""Não"";324928;""Automóvel"";""GM/ASTRA SEDAN ADVANTAGE"";2009;""Condutor"";""Ileso"";45;""Masculino"";1;0;0;0;-19",7609;-43,"0306;""SR-MG"";""DEL4/3"";""UOP01/MG""",
"182216;403879;2019-01-01;""terça-feira"";""01:50:00"";""SC"";470;42","6;""GASPAR"";""Sim"";""Ingestão de Substâncias Psicoativas"";1;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Decrescente"";""Céu Claro"";""Simples"";""Reta"";""Sim"";324875;""Automóvel"";""I/CHEVROLET AGILE LT"";2011;""Condutor"";""Lesões Leves"";26;""Masculino"";0;1;0;0;-26",875719;-49,"003746;""SR-SC"";""DEL8/4"";""UOP01/SC"""
"182217;403901;2019-01-01;""terça-feira"";""01:30:00"";""MS"";163;721","5;""COXIM"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Sem Vítimas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Simples"";""Reta"";""Não"";324893;""Automóvel"";""GM/CELTA 4P SPIRIT"";2008;""Condutor"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-18",575739;-54,"76353;""SR-MS"";""DEL3/6"";""UOP01/MS"""
"182217;403901;2019-01-01;""terça-feira"";""01:30:00"";""MS"";163;721","5;""COXIM"";""Não"";""Ingestão de Álcool"";2;""Saída de leito carroçável"";""Sem Vítimas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Simples"";""Reta"";""Não"";324893;""Automóvel"";""GM/CELTA 4P SPIRIT"";2008;""Condutor"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-18",575739;-54,"76353;""SR-MS"";""DEL3/6"";""UOP01/MS"""
"182217;403901;2019-01-01;""terça-feira"";""01:30:00"";""MS"";163;721","5;""COXIM"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Sem Vítimas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Simples"";""Reta"";""Não"";324893;""Automóvel"";""GM/CELTA 4P SPIRIT"";2008;""Condutor"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-18",575739;-54,"76353;""SR-MS"";""DEL3/6"";""UOP01/MS"""
"182217;403901;2019-01-01;""terça-feira"";""01:30:00"";""MS"";163;721","5;""COXIM"";""Não"";""Ingestão de Álcool"";1;""Atropelamento de Animal"";""Sem Vítimas"";""Plena Noite"";""Crescente"";""Céu Claro"";""Simples"";""Reta"";""Não"";324893;""Automóvel"";""GM/CELTA 4P SPIRIT"";2008;""Condutor"";""Não Informado"";NA;""Não Informado"";0;0;0;0;-18",575739;-54,"76353;""SR-MS"";""DEL3/6"";""UOP01/MS"""
